,,D/E/De,GDP Growth,Lab Qual,Lab Quant,ICT Capital,NICT Capital,Cl Quality,Cl Quant,ContriICT,ContriNICT,Export of goods and services (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,1997,1,2.181047946,0.556340581,1.207231358,8.913580328,1.900168881,0.38575097,-0.130469981,0.781846978,0.46759746,37.10950631,0.113317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,1998,1,3.498079255,0.103122299,-0.189121335,12.35767677,1.854694448,0.071141438,1.17897382,0.587729272,0.515300734,38.45253135,0.109728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,1999,1,3.52704376,0.516249286,1.711513288,15.21014422,1.801101305,0.355617679,0.658986159,0.519093033,0.553336786,39.44069929,0.10487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2000,1,3.312939033,0.281893509,0.962451659,13.15983981,1.906264573,0.193011179,0.006503351,0.488464255,0.436100177,43.42973441,0.25643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2001,1,1.341485232,0.423212815,0.009617639,11.74877435,1.978933997,0.286172237,-0.153730065,0.336635718,0.435510091,44.69283135,0.54554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2002,1,1.642289944,0.332293008,-0.229632761,11.03948951,1.523405779,0.222457037,0.118268037,0.225562952,0.504071685,45.30922521,0.49198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2003,1,0.753313163,0.408211118,0.177409442,8.358258009,1.48614645,0.272129406,0.524550956,0.155417679,0.499062892,44.58032755,0.487134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2004,1,2.669765241,0.344967097,0.79364432,5.919205397,1.675050706,0.228002411,-0.067648088,0.159718201,0.484079029,46.91629573,0.620413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2005,1,2.118109912,0.102805998,-0.103555538,4.175934568,1.612328179,0.067158445,0.463081663,0.212733564,0.515071768,48.63078156,0.681267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2006,1,3.295899555,0.065345003,0.715338578,4.523701966,1.525591873,0.042301751,0.78971535,0.249865535,0.491394242,50.83162588,0.494798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2007,1,3.557490185,0.066428998,1.23419594,6.605330855,1.570719108,0.042505408,0.938421953,0.206228485,0.214402052,52.48515213,0.324147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2008,1,1.535399538,0.068059698,1.454518177,8.239334077,1.514402777,0.043910564,-2.451214194,0.187731767,0.087686331,53.15493008,0.313041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2009,1,-3.873133287,0.069600798,-3.694271669,7.48649165,0.694034621,0.046181353,0.306632486,0.646129809,0.532314926,44.89584484,0.261953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2010,1,1.862670109,0.093607302,0.460809097,6.769613922,0.285808439,0.06228835,2.18747016,0.669483002,0.57403259,50.69469583,0.240394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1995,1,2.356759086,0.689528696,3.246831521,12.46450096,1.939628646,0.464552455,-0.945055857,0.483092107,0.676515652,36.22560257,0.209437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1996,1,1.539289393,0.636430318,-1.401419938,12.38758788,2.113398537,0.42918059,1.028978918,0.587003771,0.784338918,37.20361655,0.195393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1997,1,3.674978763,0.48435689,1.525987778,9.072953463,2.483640052,0.326603558,1.625599526,0.669492129,0.838812348,38.25007544,0.241992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1998,1,1.986419223,0.408689212,2.423730493,11.30713299,2.827555872,0.274108443,1.053336356,0.399609422,0.954494067,40.06896331,0.213528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1999,1,3.648658842,0.304507907,1.563086361,13.48420978,3.034629487,0.205202517,1.868230104,0.25117991,0.990952831,41.98633521,0.356464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2000,1,3.488880396,0.578763895,2.767620049,9.334763139,3.385432437,0.39068372,0.646914076,0.304296101,0.78491345,44.40722077,0.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2001,1,0.919927191,0.527121499,0.954851136,6.3909024,3.498207033,0.357126142,-0.373932766,0.445215125,0.513421604,42.24634131,0.632489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2002,1,1.547516137,0.383380894,-0.545687973,8.047445863,2.834678069,0.262711826,-0.23694511,0.588916475,0.495714787,40.32268991,0.448269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2003,1,0.885850936,0.329198292,-0.346881803,12.26218268,1.829617098,0.22486602,0.429100636,0.618599448,0.65877568,37.01987974,0.418642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2004,1,3.377108648,0.263476698,0.638132496,15.69392979,1.709102094,0.177170127,0.627685152,0.582695194,0.658457261,37.46350778,0.432788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2005,1,1.876156218,0.303774001,0.947768148,15.21625519,2.217963524,0.20118258,1.121112984,0.537084555,0.693469401,36.95989963,0.550056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2006,1,2.596150711,0.31043971,1.702660322,13.46738338,2.207446471,0.204408355,1.262996159,0.499705924,0.746040232,35.455015,0.659558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2007,1,2.956201322,0.318376394,1.922638342,12.94551492,2.299442515,0.209143944,0.915436354,0.384316291,0.497110747,34.31975222,0.734331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2008,1,0.948956516,0.32055059,1.379374135,13.36109042,2.495636791,0.2127368,-0.927073229,0.324343587,0.217149779,34.46828443,0.789977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2009,1,-2.653546631,0.322725507,-1.363074407,11.27120703,1.739561185,0.219496572,0.709037157,0.551541615,0.613563927,28.44205546,0.8046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2010,1,2.47028172,0.334417797,1.04113007,9.89408195,0.758805685,0.227747392,0.856680609,0.689514261,0.619832333,29.06089104,1.139952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1995,1,2.701667883,0.821135473,1.444708742,8.385718614,1.798017137,0.486915372,1.070360374,0.790820736,0.875777379,36.22560257,0.828159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1996,1,1.665655151,0.803530961,1.826345921,10.01179293,1.796080172,0.470922654,0.992426369,0.84297834,1.135732885,37.20361655,1.077165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1997,1,4.165378958,0.777082704,1.697865129,11.41855046,2.5300337,0.454215938,1.186546497,0.893873442,1.210065745,38.25007544,1.057015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1998,1,4.054855183,0.766407792,2.015825361,12.58196682,3.297708929,0.451119663,1.51303215,0.783817843,1.300128456,40.06896331,0.865614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1999,1,4.876403138,0.762337213,2.573870867,13.88991326,3.479359671,0.448134635,1.230148412,0.611812482,1.198183466,41.98633521,0.873434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2000,1,4.996206984,0.74888221,2.125705779,13.59722167,3.576510027,0.433378993,0.331181777,0.52288915,0.995499268,44.40722077,0.86234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2001,1,1.674279571,0.362570211,0.573700713,11.25910133,3.252219409,0.209301896,0.819072034,0.59277704,0.913640857,42.24634131,0.843323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2002,1,2.763333917,0.356766209,1.408676337,9.726732224,2.729005739,0.207440997,0.772564113,0.709875673,0.958642922,40.32268991,0.897131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2003,1,1.907017827,0.347975409,1.332093403,11.34445742,2.48416122,0.201812666,1.604232378,0.778182456,1.105738711,37.01987974,0.996233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2004,1,3.090535477,0.338490494,2.788829058,13.48916888,2.576012723,0.194711611,0.431107124,0.788136199,1.291161589,37.46350778,1.002034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2005,1,3.114133142,0.331864506,0.755359279,14.12167102,2.955113351,0.189405435,0.855195243,0.741910143,1.245026011,36.95989963,0.985904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2006,1,2.588002197,0.326476106,1.497932617,13.65193129,3.476824984,0.186390779,1.172734518,0.698823761,1.146342978,35.455015,0.796845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2007,1,1.988410577,0.32096291,2.042693272,13.39389533,3.360709921,0.184268621,0.726466719,0.518656103,0.69049825,34.31975222,0.969854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2008,1,1.168571785,0.31536601,1.262413524,13.50980252,3.074846044,0.181480078,-2.328852937,0.398180867,0.413406361,34.46828443,1.082197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2009,1,-2.748909965,0.309917703,-3.63512896,11.04025543,2.211280726,0.198549428,1.276812889,0.791711453,0.397480419,28.44205546,1.14484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2010,1,3.318575397,0.304584089,1.837292872,9.624180198,1.568949595,0.21166841,1.133375987,0.842506066,0.490757497,29.06089104,1.11396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,1995,1,3.019137308,0.44455328,1.726666465,13.89752924,1.386656519,0.291802734,0.308903656,1.092484873,0.527190696,36.66601382,0.520962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,1996,1,2.858874016,0.419576792,0.46672998,14.16551322,1.761296578,0.277695479,1.602405123,1.225080527,0.667509576,37.11885032,0.565926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,1997,1,3.208856285,0.5297211,2.413622104,19.11448687,1.891170256,0.351682142,1.543379482,1.19434176,0.624130014,37.81171229,0.415565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,1998,1,2.193896472,0.364019698,2.296117321,22.69673347,2.437654696,0.244682841,1.24945594,0.828972738,0.623797067,37.23376628,0.363163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,1999,1,2.905398048,0.32529009,1.830215566,22.68874198,2.358380891,0.222069817,0.927487761,0.582429301,0.676954398,39.39353422,0.35623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2000,1,3.678400069,0.264206389,1.377743389,17.13815033,2.240872011,0.177862006,0.787224062,0.643524667,0.523372274,44.88948777,0.37653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2001,1,0.819786731,0.350058195,1.17664272,11.96275875,2.397433482,0.234203832,-0.212610629,0.550088705,0.371930026,45.59534416,0.456123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2002,1,0.465214346,0.444846181,-0.312836212,13.72133046,1.914381795,0.302327611,-0.912762247,0.508142821,0.298971497,45.39850851,0.319487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2003,1,0.389332627,0.493789278,-1.330550481,12.89905459,1.370659564,0.338741159,-0.41998201,0.630087545,0.226403796,43.87740116,0.27201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2004,1,2.604731545,0.132011902,-0.615615491,11.90317646,1.086826902,0.090060476,0.599794183,0.796906278,0.36827093,43.80174074,0.258432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2005,1,2.407807671,-0.202532695,0.885880645,13.19957972,0.822319277,-0.137126748,1.683271676,0.815842766,0.56600119,47.39555396,0.275482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2006,1,3.726440296,0.065706798,2.482255548,15.70619196,1.358463988,0.044557214,0.443553226,0.744802924,0.49841851,50.53464257,0.328645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2007,1,0.82103787,0.0669381,0.646809814,16.78733826,2.13054996,0.045903155,0.517702801,0.542316772,0.225018081,51.33631237,0.443466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2008,1,-0.720545743,0.069116399,0.743728178,15.24189264,1.954419911,0.048111333,-2.343546227,0.489797443,-0.029672176,53.84777144,0.587548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2009,1,-5.221936852,0.071310101,-3.269473091,11.85581237,0.947032403,0.051114819,-2.17127949,0.709568989,-0.725592161,46.71697933,0.535079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2010,1,1.612069085,0.077805802,-3.055771254,10.55210084,-0.122379651,0.055284944,1.238221955,0.801087823,-0.26373947,49.71998428,0.444197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,1995,1,4.1210372,0.455445703,1.831715181,24.45386052,-2.459455654,0.307876943,0.915865228,0.621427502,0.130370457,35.76240919,0.381655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,1996,1,3.59348692,0.276334491,1.356156077,22.80064225,-0.905747619,0.186619489,1.884962805,0.691490993,0.404276699,36.3276504,0.328038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,1997,1,6.064163521,0.206015492,2.800481766,15.83450437,0.453176023,0.138665969,0.82761934,0.774995657,0.475310301,37.80093554,0.297377,,,,,,,,,,,,,,,,,,,,,,,,0.381655,0.328038,,,,0.297377,0.265473,,,,0.242381,0.238457,0.29035,0.342249,0.383777,0.42543,0.465549,0.478246,0.457495
Finland,1998,1,5.286293477,-0.102948898,1.257154997,15.63603431,1.358995587,-0.067774061,1.709871553,0.670458749,0.493733771,37.46739546,0.265473,,,,,,,,,,,,,,,,,,,,,,,,0.361248,0.354077,,,,0.353743,0.368613,,,,0.72723,0.708776,0.73632,0.753806,0.697191,0.618711,0.558857,0.514486,0.494037
Finland,1999,1,4.348213598,0.076763198,2.624849603,16.10682607,1.582014561,0.050004845,0.827521738,0.537288329,0.717180828,37.60232582,0.26784,,,,,,,,,,,,,,,,,,,,,,,,0.293904,0.289475,,,,0.146313,0.015144,,,,0.168128,0.055363,-0.02171,-0.05678,-0.1128,-0.13372,-0.19014,-0.25338,-0.1532
Finland,2000,1,5.481812358,0.060863502,1.287032012,15.41992724,1.574814692,0.039133345,0.198964449,0.54110433,0.660878373,42.08687739,0.2987535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2001,1,2.548051998,0.492317602,0.314206886,13.68055791,2.189989947,0.311749056,0.357841863,0.737469317,0.376322889,39.71281597,0.264545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2002,1,1.666363515,0.307991006,0.56606736,12.09149957,2.045581676,0.194697815,-0.227864273,0.962766539,0.225686235,39.08583914,0.242381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2003,1,1.974364743,0.298910006,-0.357143208,14.18026388,1.213948894,0.190710369,0.439812103,1.021886896,0.182552706,37.26619559,0.238457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2004,1,3.85094732,0.232673204,0.685875444,17.17199534,0.745725119,0.149199809,0.609479286,0.937273446,0.161374663,38.58919591,0.29035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2005,1,2.742016129,0.077648601,0.945546478,16.59537554,0.621797936,0.050050649,1.014237572,1.021532528,0.329037872,40.25561632,0.342249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2006,1,3.975131735,0.2648914,1.561925467,14.25616741,0.566695863,0.172007433,1.29125854,1.162207499,0.521346834,43.17088996,0.383777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2007,1,5.05486168,0.269815698,2.024891041,13.83544356,1.141366176,0.172059541,1.143300254,0.904384442,0.357873738,43.99680573,0.42543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2008,1,0.71808463,0.276046107,1.787994802,13.96693885,1.880273037,0.17651259,-2.611044049,0.660755718,0.130652857,45.07797699,0.465549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2009,1,-8.631020784,0.281882193,-3.863435239,11.4063561,1.461362932,0.190505804,-0.182394078,0.337018236,0.557346828,36.27098421,0.478246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2010,1,2.948440984,0.294742198,-0.262786914,9.512109309,0.5506102,0.204573479,-0.36295515,0.533170765,0.547016598,38.67771245,0.457495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,1995,1,2.063644119,0.603784807,-0.56927898,5.613054335,1.843177527,0.384955038,0.422306312,0.660059415,0.518668815,22.40590971,0.361248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,1996,1,1.378459483,0.537349703,0.663408916,8.971871436,1.799384132,0.342060789,0.109155837,0.710717728,0.614730781,22.82243139,0.354077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,1997,1,2.310498804,0.76937438,0.172341801,11.15408167,1.686968841,0.487297354,0.566349644,0.728595164,0.791810919,25.24268334,0.353743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,1998,1,3.494365886,0.603687577,0.903831795,12.41102964,1.944750547,0.378276408,1.072298922,0.590927387,0.943114236,25.79578974,0.368613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,1999,1,3.350343183,0.854102429,1.712379418,13.66456449,2.47100126,0.534842396,0.086061185,0.496138167,0.947444141,25.71989385,0.45457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2000,1,3.801962733,0.697068684,0.137153326,12.39119321,2.903638966,0.437397743,0.527077727,0.354927871,0.812694151,28.1734434,0.56777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2001,1,1.93559546,0.500352308,0.841647293,10.74997485,2.89197471,0.313343317,-1.31541593,0.227052229,0.732203992,27.79418229,0.66458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2002,1,1.112248376,0.351939304,-2.093132213,7.718735933,2.496187948,0.221174071,-0.121550274,0.212297263,0.736432569,27.03977208,0.72723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2003,1,0.816191733,-0.324750808,-0.192943437,5.245318264,2.241135202,-0.204586121,1.291994099,0.168323296,0.7723141,25.61086282,0.708776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2004,1,2.748309635,0.620368123,2.054255828,5.180213973,2.231122553,0.390171423,0.194482517,0.133038918,0.808440056,25.9090112,0.73632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2005,1,1.594926976,0.610226206,0.309812208,4.250562564,2.321659029,0.383065362,-0.299058016,0.125200674,0.924131367,26.36883754,0.753806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2006,1,2.347183786,0.263255299,-0.476449449,3.504155204,2.417928353,0.16524021,1.551924087,0.123118761,1.003996003,27.17584676,0.697191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2007,1,2.334046923,0.254461402,2.485654131,3.684009612,2.705198899,0.158873585,0.575778633,0.058993232,0.729952939,27.12839279,0.618711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2008,1,0.19510428,0.258789305,0.924967043,4.161440954,2.88571883,0.161092612,-1.479746774,0.029962522,0.549874501,27.38622642,0.558857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2009,1,-2.985465899,0.263008103,-2.352410182,2.249268256,2.117549814,0.165441132,0.244437065,0.194467057,0.313739991,24.07163011,0.514486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2010,1,1.946587861,0.245489995,0.386799383,1.260373555,1.59719754,0.155136897,-0.124664337,0.234513334,0.285762013,26.04322983,0.494037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1995,1,1.684987731,-0.048712801,-0.182594941,4.50261049,1.14478115,-0.033258036,-0.764326286,0.254313368,0.287171127,22.01595313,0.293904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
